transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00531,2026-01-14T03:42:46Z,fuel,True,False,dev_003227,GB,1486
txn_0000501,card_00258,2026-01-10T08:08:54Z,online_retail,True,False,dev_004504,SG,9680
txn_0000502,card_00201,2026-01-07T17:13:06Z,entertainment,False,False,dev_002878,GB,25648
txn_0000503,card_00204,2026-01-03T17:51:36Z,grocery,True,False,dev_001460,AE,2862
txn_0000504,card_00028,2026-01-25T08:24:35Z,utilities,True,False,dev_000322,US,13320
txn_0000505,card_00796,2026-01-06T18:53:16Z,online_retail,True,False,dev_001942,US,2091
txn_0000506,card_00288,2026-01-13T19:45:21Z,restaurant,False,False,dev_004120,US,8724
txn_0000507,card_00558,2026-01-17T16:03:50Z,grocery,True,False,dev_002790,IN,6361
txn_0000508,card_00467,2026-01-24T07:00:25Z,pharmacy,True,True,dev_000675,US,37825
txn_0000509,card_00049,2026-01-18T21:06:41Z,travel,False,False,dev_003173,US,32282
txn_0000510,card_00186,2026-01-24T23:08:36Z,pharmacy,False,False,dev_004136,SG,4107
txn_0000511,card_00603,2026-01-24T06:47:34Z,pharmacy,True,False,dev_004515,US,1302
txn_0000512,card_00246,2026-01-05T09:06:18Z,pharmacy,False,False,dev_002431,DE,3097
txn_0000513,card_00020,2026-01-10T11:16:10Z,grocery,True,False,dev_003044,IN,1824
txn_0000514,card_00525,2026-01-19T18:18:00Z,pharmacy,False,False,dev_000387,DE,1384
txn_0000515,card_00170,2026-01-21T03:59:31Z,utilities,True,False,dev_000337,US,6064
txn_0000516,card_00371,2026-01-08T00:29:56Z,restaurant,True,False,dev_002722,US,6689
txn_0000517,card_00370,2026-01-23T11:39:12Z,fuel,False,False,dev_000485,US,3957
txn_0000518,card_00501,2026-01-09T05:30:29Z,utilities,True,False,dev_002121,IN,173943
txn_0000519,card_00208,2026-01-18T20:25:59Z,online_retail,False,False,dev_003787,GB,8346
txn_0000520,card_00163,2026-01-27T00:12:05Z,fuel,True,False,dev_003967,SG,2231
txn_0000521,card_00681,2026-01-15T07:10:55Z,online_retail,True,False,dev_002955,SG,3567
txn_0000522,card_00898,2026-01-12T11:44:56Z,pharmacy,False,False,dev_004404,DE,4536
txn_0000523,card_00589,2026-01-04T10:46:04Z,restaurant,True,False,dev_002840,SG,4154
txn_0000524,card_00595,2026-01-15T08:12:52Z,entertainment,False,False,dev_002600,SG,18724
txn_0000525,card_00877,2026-01-13T06:32:41Z,pharmacy,True,False,dev_003871,SG,10072
txn_0000526,card_00451,2026-01-30T21:31:17Z,utilities,True,True,dev_002288,DE,18338
txn_0000527,card_00454,2026-01-14T15:19:28Z,travel,True,False,dev_003626,DE,9141
txn_0000528,card_00805,2026-01-19T17:46:17Z,pharmacy,True,False,dev_003607,US,12617
txn_0000529,card_00809,2026-01-12T08:51:25Z,online_retail,False,False,dev_000252,GB,2689
txn_0000530,card_00590,2026-01-12T13:52:37Z,grocery,False,False,dev_000562,DE,442
txn_0000531,card_00519,2026-01-05T12:33:10Z,online_retail,False,False,dev_004915,DE,10886
txn_0000532,card_00107,2026-01-11T17:14:27Z,electronics,True,False,dev_000248,AE,3174
txn_0000533,card_00009,2026-01-21T10:09:34Z,electronics,True,False,dev_000440,IN,2868
txn_0000534,card_00279,2026-01-19T01:45:39Z,online_retail,False,False,dev_002537,AE,9867
txn_0000535,card_00106,2026-01-17T04:57:53Z,utilities,False,False,dev_000495,US,6235
txn_0000536,card_00592,2026-01-10T12:45:30Z,electronics,True,False,dev_002059,GB,1298
txn_0000537,card_00562,2026-01-20T06:29:31Z,entertainment,False,False,dev_001245,IN,76814
txn_0000538,card_00452,2026-01-07T02:14:58Z,fuel,True,False,dev_001527,IN,4440
txn_0000539,card_00089,2026-01-20T07:14:03Z,utilities,True,False,dev_000412,AE,11449
txn_0000540,card_00572,2026-01-24T16:41:40Z,entertainment,True,False,dev_004664,IN,42687
txn_0000541,card_00742,2026-01-09T20:27:51Z,online_retail,True,False,dev_001848,IN,250
txn_0000542,card_00155,2026-01-20T12:37:28Z,grocery,False,False,dev_000463,SG,27774
txn_0000543,card_00307,2026-01-11T08:31:50Z,online_retail,False,False,dev_001611,IN,471
txn_0000544,card_00742,2026-01-16T13:10:44Z,electronics,False,False,dev_004592,SG,15141
txn_0000545,card_00110,2026-01-06T01:09:39Z,fuel,True,False,dev_004759,AE,3869
txn_0000546,card_00122,2026-01-15T08:15:37Z,pharmacy,False,False,dev_001618,GB,1202
txn_0000547,card_00550,2026-01-28T18:29:07Z,atm_withdrawal,True,False,dev_002462,DE,1317
txn_0000548,card_00336,2026-01-04T14:37:10Z,entertainment,True,False,dev_001980,GB,16354
txn_0000549,card_00342,2026-01-14T03:02:14Z,atm_withdrawal,False,False,dev_004043,DE,5656
txn_0000550,card_00008,2026-01-13T15:21:17Z,entertainment,False,False,dev_004203,IN,25223
